Songs,"I-words(I, me, my)",Positive Tone,Negative Tone,Social Words,Cognitive Processes,Allure,Moralization,Analytic,Authentic,,,,,,,,,,,
THAT'S WHAT I LIKE - BRUNO MARS,9.58,4.41,0,11.3,5.17,10.54,0.77,8.48,33.08,,,,,,,,,,,
NATURAL - IMAGINE DRAGONS,3.73,0.93,2.17,10.25,6.83,8.39,0.62,51.24,62.5,,,,,,,,,,,
ITS EVERYDAY BRO - JAKE PAUL,7.35,0.96,0.96,12.62,5.11,7.03,0,14.79,78.79,,,,,,,,,,,
IT'S EVERY NIGHT SIS - RICEGUM,5.66,1.95,5.27,13.87,9.77,13.09,2.34,14.92,83.27,,,,,,,,,,,
FROZEN - MADONNA,11.16,2.58,2.58,3.43,12.88,14.59,0,20.41,99.66,,,,,,,,,,,
SAY SO - DOJA CAT,8.46,4.34,1.08,11.06,13.23,11.5,0,4.73,87.7,,,,,,,,,,,
BEGGIN' - MANESKIN,11.22,5.73,1.67,14.32,10.5,11.69,0.24,12.86,96.9,,,,,,,,,,,
I TOOK A PILL IN IBIZA - MIKE POSNER,9.02,2.44,3.17,6.59,12.68,8.78,0.24,22.36,88.14,,,,,,,,,,,
FRIDAY - REBECCA BLACK,4.21,11.52,0,5.06,3.65,13.2,0,86.57,99.33,,,,,,,,,,,
I LOVE IT - KANYE WEST,11.25,4.65,3.67,10.02,5.13,11.74,0.98,38.86,56.85,,,,,,,,,,,
"GRADUATION - BENNY BLANCO, JUICE WRLD",5.26,2.06,1.83,15.1,9.61,9.84,0.92,15.45,75.75,,,,,,,,,,,
CALM DOWN - SELENA GOMEZ,9.84,4.68,1.17,14.29,6.79,15.93,0,28.32,79.79,,,,,,,,,,,
UNDER THE INFLUENCE - CHRIS BROWN,8.98,2.86,1.22,14.69,10.61,16.33,0.41,12.98,76.16,,,,,,,,,,,
"ANOTHER WAY TO DIE - ALICIA KEYS, JACK WHITE",0,2.03,2.71,11.53,12.54,5.08,0,77.85,76.12,,,,,,,,,,,
DRIVERS LICENSE - OLIVIA RODRIGO,11.24,2.25,1.12,12.92,17.7,11.8,0,0.3,99.99,,,,,,,,,,,
UP - CARDI B,5.16,2.49,3.02,5.16,8.01,9.25,0.36,14.66,96.98,,,,,,,,,,,
SHAKE IT OFF - TAYLOR SWIFT,19.86,3.6,7.71,4.28,3.25,5.31,4.62,10.1,95.08,,,,,,,,,,,
ASTRONAUT IN THE OCEAN - MASKED WOLF,6.45,3,3.69,6.22,9.91,13.36,0.46,33.03,96.51,,,,,,,,,,,
HOT SHOWER - CHANCE THE RAPPER,7.95,2.02,0.72,6.79,7.51,9.97,0.29,57.64,43.34,,,,,,,,,,,
MOTHER - MEGHAN TRAINOR,9.49,1.58,2.53,25.95,11.08,9.49,1.58,7.28,17.52,,,,,,,,,,,
WATERMELON SUGAR - HARRY STYLES,9.52,0.43,0,2.16,12.55,19.05,0,33.78,99.54,,,,,,,,,,,
CHEAP THRILLS - SIA,14.72,9.2,1.23,3.07,9.82,26.07,0,7.8,96.23,,,,,,,,,,,
"LEAN ON - DJ SNAKE, MAJOR LAZER, MO",0.36,5.36,4.29,13.93,13.93,9.29,0.36,89.04,8.95,,,,,,,,,,,
FAMOUS - KANYE WEST,5.58,2.99,1.59,10.76,10.96,9.16,0.6,43.48,29.43,,,,,,,,,,,
HOTLINE BLING - DRAKE,11.16,2.28,0.91,11.85,15.95,15.72,0.23,2.84,99.74,,,,,,,,,,,
"RAIN ON ME - ARIANA GRANDE, LADY GAGA",19.31,1.73,1.15,2.59,7.49,3.17,0.58,43.46,97.96,,,,,,,,,,,
LOSE YOURSELF - EMINEM,3.01,4.14,2.89,13.17,7.9,8.78,0,20.93,72.75,,10.174,2.206,2.202,8.994,9.56,9.992,0.38,19.052,87.702, 
"BUTTONS - THE PUSSYCAT DOLLS, SNOOP DOGG",11.75,3.65,0.32,12.38,11.43,7.62,0,12.23,91.59,,,,,,,,,,,
TOO HIGH - LIL DICKY,10.48,1.03,3.1,6.08,11.13,8.41,0,20.78,93.33,,,,,,,,,,,
"GOOSEBUMPS - TRAVIS SCOTT, KENDRICK LAMAR",10,1.82,2.36,7.09,8.36,11.09,0.73,32,83.35,,,,,,,,,,,
DANCING WITH YOUR GHOST - SASHA SLOAN,15.13,3.36,0.42,8.82,8.4,10.5,0,9.26,100,,,,,,,,,,,
ANXIETY - JULIA MICHAELS,14.16,2.79,1.29,6.44,15.24,10.94,0,2.11,92.82,,,,,,,,,,,
HEARTLESS - THE WEEKND,13.42,1.52,1.52,4.3,9.87,13.42,0,17.06,88.77,,,,,,,,,,,
MOTH TO A FLAME - THE WEEKND,4.96,2.89,0.83,22.73,17.36,14.88,0.41,1.03,16.76,,,,,,,,,,,
REMINDER - THE WEEKND,10.54,1.23,1.76,9.67,11.6,12.13,0,30.74,87.39,,,,,,,,,,,
SHUT UP AND DANCE - WALK THE MOON,11.52,1.4,7.3,12.92,3.09,8.15,0,35.83,73.79,,,,,,,,,,,
WE ARE YOUNG - FUN,8.51,0.52,0,9.28,11.08,5.93,0,25.48,99.22,,,,,,,,,,,
ANIMALS - MAROON 5,6.77,0.66,1.31,15.28,13.76,10.26,0,6.36,33.16,,,,,,,,,,,
SUGAR - MAROON 5,14.1,6.41,2.14,9.62,11.11,16.03,0,2.55,96.64,,,,,,,,,,,
SHAPE OF YOU - ED SHEERAN,11.61,6.2,0.64,11.29,6.2,18.12,0,46.24,100,,,,,,,,,,,
BLACKBIRD - ALTER BRIDGE,1.49,1.49,6.47,14.43,11.44,7.46,0.5,21.73,99.93,,,,,,,,,,,
FADE TO BLACK - METALLICA,12.5,1.56,3.91,1.56,17.97,10.16,0,1.26,99.42,,,,,,,,,,,
STAIRWAY TO HEAVEN - LED ZEPPELIN,2.85,2.56,0.57,10.83,11.68,8.26,0,32.6,62.96,,,,,,,,,,,
ODE TO THE METS - THE STROKES,8.08,2.36,1.68,9.43,12.46,12.12,1.68,7.71,95.75,,,,,,,,,,,
CHOP SUEY! - SYSTEM OF A DOWN,6.9,0.38,1.92,12.26,8.81,1.92,4.21,89,65.43,,,,,,,,,,,
BLEAK - OPETH,8.12,2.03,4.57,8.63,2.54,5.08,0,64.44,96.93,,,,,,,,,,,
RUST - CALIGULA'S HORSE,7.69,6.69,3.34,9.7,6.35,8.36,0,21.98,54.4,,,,,,,,,,,
MARIGOLD - PERIPHERY,5.3,1.27,2.75,6.36,5.3,13.77,0.21,61.48,96.6,,,,,,,,,,,
ONE - METALLICA,17.56,0.98,2.44,0.49,11.71,11.71,0,20.74,99.13,,,,,,,,,,,
HONOR THY FATHER - DREAM THEATER,5.13,2.05,5.13,11.54,6.92,8.21,2.31,19.93,52.47,,,,,,,,,,,
STAN - EMINEM,11.81,1.84,2.42,11.13,14.23,7.07,0.39,2.03,85.74,,,,,,,,,,,
DO I WANNA KNOW - ARCTIC MONKEYS,6.35,2.03,1.27,12.44,18.78,10.91,0,7.52,98.88,,,,,,,,,,,
HEY JUDE - THE BEATLES,0.5,6.93,3.47,15.35,11.88,21.29,0,20.93,24.73,,,,,,,,,,,
DONT YOU WORRY CHILD - SWEDISH HOUSE MAFIA,7.81,3.13,7.42,13.67,13.67,11.72,0,16.71,84.99,,,,,,,,,,,
MIDDLE CHILD - J. COLE,11.4,2.36,2.92,8.62,11.13,9.87,0.56,11.69,80.96,,,,,,,,,,,
ANGELA - THE LUMINEERS,2.55,1.53,1.53,10.71,2.04,6.12,0,91.49,99.76,,,,,,,,,,,
HAPPINESS IS A BUTTERFLY - LANA DEL REY,10.18,1.04,4.7,10.97,8.36,4.18,0,32.04,85.79,,,,,,,,,,,
MY HEART WILL GO ON - CELINE DION,10.11,2.25,0.56,10.67,5.62,17.42,0,8.3,100,,,,,,,,,,,
ON TOP OF THE WORLD - IMAGINE DRAGONS,8.74,1.7,0.97,4.37,9.71,10.44,0,45.77,99.9,,,,,,,,,,,
WAVES - IMAGINE DRAGONS,2.45,1.84,0.31,5.83,10.12,11.96,0,27.26,74.67,,,,,,,,,,,
DEMONS - IMAGINE DRAGONS,10.03,0.65,2.27,9.39,7.44,10.03,0.97,1.46,96.1,,,,,,,,,,,
I AIN'T WORRIED - ONE REPUBLIC,10.2,2.75,7.06,3.14,16.86,20,1.18,3.31,99.34,,,,,,,,,,,
NUMB - LINKIN PARK,12.33,0,5.82,7.53,17.47,6.85,0.34,2.79,96.93,,,,,,,,,,,
WITHOUT ME - EMINEM,9.2,0.96,3.98,9.48,12.23,9.48,0.14,20.4,94.77,,,,,,,,,,,
WILLOW - TAYLOR SWIFT,16.46,1.21,2.91,18.16,9.44,10.65,0.24,8.26,98.29,,,,,,,,,,,
GRENADE - BRUNO MARS,8.03,1.15,1.61,13.3,10.09,10.32,0.23,15.74,66.13,,,,,,,,,,,
"I HATE U, I LOVE U - GRACE GRUNDY",15.38,3.65,3.46,16.35,15.38,9.04,0.19,0.04,91.2,,,,,,,,,,,
MOVES LIKE JAGGER - MAROON 5,12.87,1.49,0.25,9.65,11.14,14.85,0,20.93,84.71,,,,,,,,,,,
BEJEWELED - TAYLOR SWIFT,13.08,3.97,0.93,8.64,12.38,11.21,0,18.73,98.2,,,,,,,,,,,
LAVENDER HAZE - TAYLOR SWIFT,11.73,2.28,1.95,7.49,9.77,13.68,0,25.91,71.02,,,,,,,,,,,
SIDE TO SIDE - ARIANA GRANDE,10.44,1.67,2.09,10.44,7.93,13.99,0,10.94,98.76,,,,,,,,,,,
"DANCE NOW - JID, KENNY MASON",5.17,2.04,1.63,8.98,6.67,7.62,0.54,56.84,83.11,,,,,,,,,,,
"SCARING THE HOES - JPEGMAFIA, DANNY BROWN",4.41,3.25,0.93,11.14,5.1,13.92,0,28.3,11.84,,,,,,,,,,,
AIN'T IT FUNNY - DANNY BROWN,2.8,2,2.2,6.2,24,4.4,0,7.66,87.28,,,,,,,,,,,
DANCE MONKEY - TONES AND I,19.22,0.49,1.46,12.9,4.87,9.98,0,1.7,99.92,,,,,,,,,,,
CHAMPAGNE POETRY - DRAKE,13.26,4.49,1.57,8.99,12.13,10.79,0.22,31.48,98,,,,,,,,,,,
THE FOX (WHAT DOES THE FOX SAY?) - YLVIS,2.13,1.28,0,5.11,6.38,4.26,0,48.61,25.37,,,,,,,,,,,
BABY - JUSTIN BIEBER,13.44,2.28,0.46,20.05,7.06,9.57,0,4.01,91.01,,9.172,9.172,0.732,0.732,8.686,8.686,0,0,25.556,76.77
BOYFRIEND - JUSTIN BIEBER,11.93,2.79,0.25,20.81,13.2,8.88,0,1.06,85.11,,,,,,,,,,,
"BOY'S A LIAR - PINKPANTHERESS, ICE SPICE",9.2,6.82,2.08,18.1,8.61,13.65,2.67,8.43,24.08,,,,,,,,,,,
