Songs,"I-words(I, me, my)",Positive Tone,Negative Tone,Social Words,Cognitive Processes,Allure,Moralization,Analytic,Authentic,,,,,,,,,,,
SORRY - JUSTIN BIEBER,12.68,1.15,0.86,5.76,13.83,11.53,1.15,3.92,99.31,,,,,,,,,,,
ANTIHERO - TAYLOR SWIFT,13.06,3.56,2.67,6.23,9.5,7.42,0,22.09,97,,,,,,,,,,,
GUCCI GANG - LIL PUMP,5.7,2.14,0.24,17.81,4.28,8.79,0,61.83,6.97,,,,,,,,,,,
WHOOPTY - CJ,11.89,0.23,0.93,11.42,1.4,10.49,0.7,39.58,87.56,,,,,,,,,,,
BAD BLOOD - TAYLOR SWIFT,2.88,2.26,8.02,16.46,14.2,14.81,0,3.46,41.04,,,,,,,,,,,
LOOK WHAT YOU MADE ME DO - TAYLOR SWIFT,14.77,1.7,1.14,12.31,9.66,10.42,0,0.78,79.85,,,,,,,,,,,
COLD MESS - PRATEEK KUHAD,15.38,4.2,2.8,16.08,10.49,13.29,0,1.24,99.23,,,,,,,,,,,
RUNAWAY - KANYE WEST,7.69,1.78,2.37,11.69,8.14,13.46,1.33,27.22,89.41,,,,,,,,,,,
"WHAT OTHER PEOPLE SAY - DEMI LOVATO, SAM FISCHER",14.93,4.07,1.36,4.98,17.87,13.57,0,10.9,99.98,,,,,,,,,,,
HOW FAR I'LL GO - AULI'I CRAVALHO,13.53,3.38,0.38,1.88,16.92,12.41,0.38,11.59,100,,,,,,,,,,,
COPING - ROSIE DARLING,15.86,4.48,6.9,9.31,21.03,5.17,1.03,0.52,99.85,,,,,,,,,,,
MORAL OF THE STORY - ASHE,3.67,4.28,4.59,9.17,16.82,12.23,2.14,6.06,23.1,,,,,,,,,,,
PASSIONFRUIT - DRAKE,6.14,3.07,3.51,8.33,6.58,10.53,1.75,57.59,82.39,,11.668,2.82,1.652,11,8.866,12.382,0.456,22.732,88.62,
CALL ME WHEN YOU WANT - LIL NAS X,13.76,1.85,1.59,11.9,10.85,12.43,0.53,12.9,94.62,,,,,,,,,,,
MARRY ME - JASON DERULO,15.38,2.2,0.27,10.71,9.62,11.81,0,3.88,98.92,,,,,,,,,,,
PYT - MICHAEL JACKSON,7.48,9.52,0.68,13.61,10.43,17.46,0,9.01,24.33,,,,,,,,,,,
